"id","code","name"
"91","BTC","Bitcoin"
"92","ETH","Ethereum"
"93","USDT","Tether"
"94","USDC","USD Coin"
"95","BNB","BNB"
"96","ADA","Cardano"
"97","XRP","XRP"
"98","BUSD","Binance USD"
"99","SOL","Solana"
"100","DOGE","Dogecoin"
"101","DOT","Polkadot"
"102","WBTC","Wrapped Bitcoin"
"103","TRX","TRON"
"104","DAI","Dai"
"105","AVAX","Avalanche"
"106","SHIB","Shiba Inu"
"107","LEO","UNUS SED LEO"
"108","MATIC","Polygon"
"109","CRO","Cronos"
"110","LTC","Litecoin"
"111","LINK","Chainlink"
"112","FTT","FTX Token"
"113","UNI","Uniswap"
"114","NEAR","NEAR Protocol"
"115","XLM","Stellar"
"116","XMR","Monero"
"117","BCH","Bitcoin Cash"
"118","ETC","Ethereum Classic"
"119","ALGO","Algorand"
"120","ATOM","Cosmos"
"121","FLOW","Flow"
"122","VET","VeChain"
"123","XTZ","Tezos"
"124","MANA","Decentraland"
"125","HBAR","Hedera"
"126","APE","ApeCoin"
"127","SAND","The Sandbox"
"128","KCS","KuCoin Token"
"129","FIL","Filecoin"
"130","ICP","Internet Computer"
"131","EGLD","Elrond"
"132","HNT","Helium"
"133","THETA","Theta Network"
"134","ZEC","Zcash"
"135","AAVE","Aave"
"136","TUSD","TrueUSD"
"137","EOS","EOS"
"138","AXS","Axie Infinity"
"139","MKR","Maker"
"140","HT","Huobi Token"
"141","BSV","Bitcoin SV"
"142","KLAY","Klaytn"
"143","GRT","The Graph"
"144","BTT","BitTorrent-New"
"145","XEC","eCash"
"146","MIOTA","IOTA"
"147","RUNE","THORChain"
"148","USDP","Pax Dollar"
"149","FTM","Fantom"
"150","NEO","Neo"
"151","WAVES","Waves"
"152","USDN","Neutrino USD"
"153","QNT","Quant"
"154","CAKE","PancakeSwap"
"155","STX","Stacks"
"156","CHZ","Chiliz"
"157","USDD","USDD"
"158","LRC","Loopring"
"159","NEXO","Nexo"
"160","OKB","OKB"
"161","ZIL","Zilliqa"
"162","DASH","Dash"
"163","PAXG","PAX Gold"
"164","GMT","STEPN"
"165","BAT","Basic Attention Token"
"166","CRV","Curve DAO Token"
"167","KSM","Kusama"
"168","CELO","Celo"
"169","ENJ","Enjin Coin"
"170","GALA","Gala"
"171","KAVA","Kava"
"172","GNO","Gnosis"
"173","ONE","Harmony"
"174","AMP","Amp"
"175","DCR","Decred"
"176","CVX","Convex Finance"
"177","AR","Arweave"
"178","XDC","XDC Network"
"179","MINA","Mina"
"180","XEM","NEM"
"181","GT","GateToken"
"182","HOT","Holo"
"183","FEI","Fei USD"
"184","1INCH","1inch Network"
"185","QTUM","Qtum"
"186","COMP","Compound"
"187","OMG","OMG Network"
